customer_id,name,email,phone,signup_date,customer_type
CUST0001,Customer 1,customer1@example.com,+1-555-3711167,2023-10-29,Basic
CUST0002,Customer 2,customer2@example.com,+1-555-8863810,2023-06-30,Standard
CUST0003,Customer 3,customer3@example.com,+1-555-6057364,2023-08-31,Basic
CUST0004,Customer 4,customer4@example.com,+1-555-2218584,2023-06-24,Basic
CUST0005,Customer 5,customer5@example.com,+1-555-9369844,2023-09-09,Standard
CUST0006,Customer 6,customer6@example.com,+1-555-2417583,2023-09-17,Premium
CUST0007,Customer 7,customer7@example.com,+1-555-9141439,2023-12-07,Premium
CUST0008,Customer 8,customer8@example.com,+1-555-6521485,2023-08-11,Standard
CUST0009,Customer 9,customer9@example.com,+1-555-2428309,2023-05-13,Basic
CUST0010,Customer 10,customer10@example.com,+1-555-5394969,2023-12-16,Premium
CUST0011,Customer 11,customer11@example.com,+1-555-1271270,2023-07-29,Premium
CUST0012,Customer 12,customer12@example.com,+1-555-8177438,2023-07-02,Basic
CUST0013,Customer 13,customer13@example.com,+1-555-1575000,2023-07-12,Standard
CUST0014,Customer 14,customer14@example.com,+1-555-9018004,2023-06-12,Standard
CUST0015,Customer 15,customer15@example.com,+1-555-3366864,2023-08-09,Basic
CUST0016,Customer 16,customer16@example.com,+1-555-4534378,2023-12-22,Basic
CUST0017,Customer 17,customer17@example.com,+1-555-6212720,2023-04-08,Standard
CUST0018,Customer 18,customer18@example.com,+1-555-5328862,2023-03-12,Standard
CUST0019,Customer 19,customer19@example.com,+1-555-1162414,2023-03-31,Premium
CUST0020,Customer 20,customer20@example.com,+1-555-5302944,2023-09-29,Standard
CUST0021,Customer 21,customer21@example.com,+1-555-3283801,2023-05-28,Standard
CUST0022,Customer 22,customer22@example.com,+1-555-9766792,2023-02-18,Premium
CUST0023,Customer 23,customer23@example.com,+1-555-5719464,2023-04-19,Basic
CUST0024,Customer 24,customer24@example.com,+1-555-4594729,2023-03-16,Standard
CUST0025,Customer 25,customer25@example.com,+1-555-5085207,2023-06-25,Premium
CUST0026,Customer 26,customer26@example.com,+1-555-2846188,2023-11-01,Basic
CUST0027,Customer 27,customer27@example.com,+1-555-2793372,2023-01-31,Premium
CUST0028,Customer 28,customer28@example.com,+1-555-2816064,2023-01-15,Premium
CUST0029,Customer 29,customer29@example.com,+1-555-2281808,2023-12-15,Basic
CUST0030,Customer 30,customer30@example.com,+1-555-8581996,2023-03-12,Premium
CUST0031,Customer 31,customer31@example.com,+1-555-5980419,2023-02-13,Standard
CUST0032,Customer 32,customer32@example.com,+1-555-4260889,2023-06-17,Basic
CUST0033,Customer 33,customer33@example.com,+1-555-9390444,2023-12-18,Basic
CUST0034,Customer 34,customer34@example.com,+1-555-7394186,2023-04-15,Basic
CUST0035,Customer 35,customer35@example.com,+1-555-8191798,2023-12-02,Basic
CUST0036,Customer 36,customer36@example.com,+1-555-1512278,2023-01-26,Standard
CUST0037,Customer 37,customer37@example.com,+1-555-4277775,2023-08-12,Premium
CUST0038,Customer 38,customer38@example.com,+1-555-5437510,2023-08-07,Basic
CUST0039,Customer 39,customer39@example.com,+1-555-5607723,2023-02-16,Premium
CUST0040,Customer 40,customer40@example.com,+1-555-4189598,2023-05-22,Premium
CUST0041,Customer 41,customer41@example.com,+1-555-5503017,2023-09-26,Standard
CUST0042,Customer 42,customer42@example.com,+1-555-2595029,2023-05-16,Standard
